category,requirement,minimum_count,found_count,status,matched_files
results,Reproducibility metadata JSON,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/reproducibility_metadata.json
results,Reproducibility metadata TXT,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/reproducibility_metadata.txt
results,Pandas full manifest CSV,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/full_pandas_manifest.csv
results,Task 1 leakage log,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/leakage_check_task1.txt
results,Task 2 leakage log,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/leakage_check_task2.txt
results,Task 1 prediction CSV,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/prediction_task1_test.csv
results,Task 2 prediction CSV,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/prediction_task2_test.csv
results,Task 2 base-paper prediction CSV,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/prediction_task2_basepaper_original_split_test.csv
results,Task 2 base-paper original split overlap note,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/leakage_note_task2_basepaper_original_split.txt
tables,Dataset summary table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_dataset_summary.csv
tables,Source folder distribution table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_source_folder_distribution.csv
tables,Task split table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_task_splits.csv
tables,Task 1 metrics with 95% CI table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_task1_metrics_with_ci.csv
tables,Task 2 metrics with 95% CI table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_task2_metrics_with_ci.csv
tables,Task 2 base-paper metrics with 95% CI table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_task2_basepaper_original_split_metrics_with_ci.csv
tables,Base-paper comparison table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_task2_basepaper_comparison.csv
tables,Final metrics with 95% CI table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_final_metrics_with_ci.csv
tables,Occlusion example table,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/tables/table_occlusion_examples.csv
figures,Sample image figure,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig1_sample_chest_xray_images.png
figures,Pipeline diagram figure,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_pipeline_diagram.png
figures,Training curve figures,2,2,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/pneumonia_vs_normal_training_curves.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/task2_densenet121_training_curves.png
figures,Confusion matrix figures,2,4,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/bacterial_vs_viral_densenet121_base_paper_original_split_confusion_matrix.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/bacterial_vs_viral_densenet121_patient_safe_split_confusion_matrix.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/pneumonia_vs_normal_best_saved_current_model_confusion_matrix.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/pneumonia_vs_normal_confusion_matrix.png
figures,ROC curve figures,2,4,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/bacterial_vs_viral_densenet121_base_paper_original_split_roc_curve.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/bacterial_vs_viral_densenet121_patient_safe_split_roc_curve.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/pneumonia_vs_normal_best_saved_current_model_roc_curve.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/pneumonia_vs_normal_roc_curve.png
figures,Occlusion panel figures,2,8,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task1_1_correct_normal.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task1_2_correct_pneumonia.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task1_3_incorrect_normal.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task1_4_incorrect_pneumonia.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task2_1_correct_bacterial.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task2_2_correct_viral.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task2_3_incorrect_bacterial.png; /content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/fig_occlusion_task2_4_incorrect_viral.png
figures,Figure DPI manifest,1,1,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/figures/figure_dpi_manifest.csv
results,prediction_task1_test.csv required columns,12,12,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/prediction_task1_test.csv
results,prediction_task2_test.csv required columns,12,12,PASS,/content/drive/MyDrive/Big Data/ChestXRay2017/pneumonia_submission_revision/results/prediction_task2_test.csv
figures,All PNG figures report 300 DPI,1,1,PASS,
figures,Every PNG figure has matching PDF copy,20,20,PASS,
manuscript,Editable manuscript DOCX present,1,0,PENDING,
manuscript,Final manuscript PDF present,1,0,PENDING,
